datetime	high	low	open
2025-10-21 07:00:00	183.0200	182.4700	182.5200
2025-10-21 08:00:00	183.3000	182.0700	182.6300
2025-10-21 09:00:00	183.1600	162.3800	183.0700
2025-10-21 10:00:00	181.4100	179.8000	180.9550
2025-10-21 11:00:00	182.3050	181.1400	181.3200
2025-10-21 12:00:00	182.6510	181.3650	182.1800
2025-10-21 13:00:00	181.6874	181.0601	181.4300
2025-10-21 14:00:00	181.6600	180.9300	181.6450
2025-10-21 15:00:00	181.6902	181.0200	181.2850
2025-10-21 16:00:00	181.2809	173.9427	181.1600
2025-10-21 17:00:00	181.2500	130.4952	181.0200
2025-10-21 18:00:00	181.2500	180.9200	181.1900
2025-10-21 19:00:00	181.0900	180.7000	181.0750
2025-10-22 04:00:00	181.4900	180.9900	181.3400
2025-10-22 05:00:00	181.9300	180.9500	181.3400
2025-10-22 06:00:00	181.9000	181.5200	181.8400
2025-10-22 07:00:00	181.7000	180.9600	181.6200
2025-10-22 08:00:00	181.9328	180.8800	181.2400
2025-10-22 09:00:00	183.4400	180.2900	181.1200
2025-10-22 10:00:00	183.1200	179.3200	182.6765
2025-10-22 11:00:00	180.7259	177.9000	180.6800
2025-10-22 12:00:00	179.9600	177.7600	179.4700
2025-10-22 13:00:00	179.0000	176.7600	178.7700
2025-10-22 14:00:00	178.9000	176.9300	177.5550
2025-10-22 15:00:00	180.3900	178.6301	178.8750
2025-10-22 16:00:00	190.8448	168.3155	180.2800
2025-10-22 17:00:00	190.8448	169.5059	179.8000
2025-10-22 18:00:00	180.1100	179.5700	179.5900
2025-10-22 19:00:00	180.2000	179.6200	179.9200
2025-10-23 04:00:00	180.9900	180.2700	180.6100
2025-10-23 05:00:00	180.8100	180.0800	180.8000
2025-10-23 06:00:00	180.6800	180.1300	180.5800
2025-10-23 07:00:00	180.3400	179.6000	180.3000
2025-10-23 08:00:00	182.6250	179.2200	180.4012
2025-10-23 09:00:00	181.6050	179.0000	179.9100
2025-10-23 10:00:00	182.3250	180.6200	181.3500
2025-10-23 11:00:00	182.5000	180.9900	182.2950
2025-10-23 12:00:00	182.2800	181.6800	182.1100
2025-10-23 13:00:00	182.6700	181.5000	182.0100
2025-10-23 14:00:00	183.0200	182.2550	182.5300
2025-10-23 15:00:00	183.0300	181.3800	182.9400
2025-10-23 16:00:00	182.6200	182.0500	182.2000
2025-10-23 17:00:00	186.9700	182.0000	182.4700
2025-10-23 18:00:00	182.3000	182.1600	182.1892
2025-10-23 19:00:00	182.3500	182.1700	182.2600
2025-10-24 04:00:00	183.3000	182.1600	182.7200
2025-10-24 05:00:00	183.3000	183.0400	183.1800
2025-10-24 06:00:00	183.4500	182.9900	183.2000
2025-10-24 07:00:00	183.4000	182.9900	182.9900
2025-10-24 08:00:00	184.4900	182.1600	182.9500
2025-10-24 09:00:00	186.0300	183.5000	183.9600
2025-10-24 10:00:00	185.7000	184.2701	185.5600
2025-10-24 11:00:00	185.6000	184.5300	184.8550
2025-10-24 12:00:00	185.4200	184.9200	185.3200
2025-10-24 13:00:00	185.6500	184.9000	185.1700
2025-10-24 14:00:00	185.8000	185.0150	185.4801
2025-10-24 15:00:00	187.4700	185.7801	185.8000
2025-10-24 16:00:00	187.2200	186.1800	186.2600
2025-10-24 17:00:00	186.8400	186.4500	186.8050
2025-10-24 18:00:00	186.5900	186.3000	186.5900
2025-10-24 19:00:00	186.5200	186.3200	186.3700
2025-10-27 04:00:00	190.2500	188.1200	189.0000
2025-10-27 05:00:00	190.9400	190.1300	190.1800
2025-10-27 06:00:00	191.1600	190.5200	190.8900
2025-10-27 07:00:00	190.9900	190.5800	190.7800
2025-10-27 08:00:00	191.1500	185.7950	190.6300
2025-10-27 09:00:00	191.2700	186.2600	190.4797
2025-10-27 10:00:00	191.1100	188.4318	191.0550
2025-10-27 11:00:00	191.4700	190.2400	190.3100
2025-10-27 12:00:00	191.4900	190.7800	190.8800
2025-10-27 13:00:00	191.7750	191.0000	191.4701
2025-10-27 14:00:00	191.2400	190.2700	191.1000
2025-10-27 15:00:00	192.0000	190.2800	190.7600
2025-10-27 16:00:00	221.3593	125.4878	191.4300
2025-10-27 17:00:00	224.9703	129.4428	191.6500
2025-10-27 18:00:00	191.5900	189.8900	191.5700
2025-10-27 19:00:00	191.7000	191.3700	191.4000
